Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Shiptype,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
06/05/2021 00:00:00,,1,2.310664539980008e-05,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:00,,2,0.017933956085989907,3.961647106142175e-21,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:01,,1,4.621329079960016e-05,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:01,,2,0.017901606784015374,7.92329421228435e-21,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:02,,1,6.931993619940023e-05,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:02,,2,0.017869257482028122,1.1884941318426524e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:03,,1,9.242658161192254e-05,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:03,,2,0.017836908180028144,1.58465884245687e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:04,,1,0.00011553322699900039,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:04,,2,0.01780455887804089,1.9808235530710875e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:05,,1,0.0001386398724115227,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:05,,2,0.017772209576028195,2.3769882636853054e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:06,,1,0.00016174651781132276,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:06,,2,0.017739860274028216,2.773152974299523e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:07,,1,0.00018485316321112285,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:07,,2,0.01770751097201552,3.1693176849137405e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:08,,1,0.00020795980861092292,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:08,,2,0.0176751616699901,3.5654823955279584e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:09,,1,0.0002310664540234452,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:09,,2,0.0176428123679774,3.9616471061421756e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:10,,1,0.0002541730994232453,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:10,,2,0.017610463065939257,4.3578118167563935e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:11,,1,0.00027727974481032313,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:11,,2,0.017578113763901115,4.7539765273706114e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:12,,1,0.00030038639022284544,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:12,,2,0.01754576446186297,5.150141237984829e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:13,,1,0.0003234930356099233,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:13,,2,0.017513415159812105,5.546305948599046e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:14,,1,0.0003465996810097234,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:14,,2,0.01748106585776124,5.942470659213264e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:15,,1,0.0003697063264222457,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:15,,2,0.017448716555697654,6.338635369827482e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:16,,1,0.0003928129718220458,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
06/05/2021 00:00:16,,2,0.017416367253634067,6.7348000804417e-20,,,7.0,180.0,,,,,,,30,100,,,,,,,,,
06/05/2021 00:00:17,,1,0.00041591961722184584,0.0,,,5.0,0.0,,,,,,,10,50,,,,,,,,,
